项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,项目备注
GZ-ACTIVITY-01,广州,活动,SPA自助,含按摩 + 自助餐,100-200,,,
GZ-ACTIVITY-02,广州,活动,世界工厂探秘,工业游 / 工厂参观,0,,,免费参观，消费另计
GZ-ACTIVITY-03,广州,活动,冰啤收尾,酒吧 / 清吧,50-80,,人,
GZ-ACTIVITY-04,广州,活动,咏春拳体验,1.5小时课程,200,,,
GZ-ACTIVITY-05,广州,活动,地道粤菜,正餐,80-150,,人,
GZ-ACTIVITY-06,广州,活动,夜市大排档,,50-80,,人,
GZ-ACTIVITY-07,广州,活动,市场淘宝,购物消费,0,,,无固定单价，消费自理
GZ-ACTIVITY-08,广州,活动,永庆坊,街区免费，内部展馆 / 体验另计,0,,,免费参观
GZ-ACTIVITY-09,广州,活动,沙面,街区免费,0,,,免费参观
GZ-ACTIVITY-10,广州,活动,网红直播基地探访,联系基地安排参观和讲解,300,,,
GZ-ACTIVITY-11,广州,活动,非遗体验,如广彩、广绣等手工艺体验,150,,,
GZ-TICKET-01,广州,门票,中山纪念堂,主体建筑门票,10,,,
GZ-TICKET-02,广州,门票,南越王博物院,王墓展区,10,,,
GZ-TICKET-03,广州,门票,古龙峡,玻璃大峡谷（云天玻霸）套票,238,,,
GZ-TICKET-04,广州,门票,广州十三行博物馆,免费,0,,,免费，需预约
GZ-TICKET-05,广州,门票,广州塔,433米白云星空观光票,150,,,
GZ-TICKET-06,广州,门票,荔湾博物馆,门票,8,,,
GZ-TICKET-07,广州,门票,越秀公园,免费,0,,,
GZ-TICKET-08,广州,门票,陈家祠,门票,10,,,
GZ-GUIDE-01,广州,导游,英文导游-初级,8h景点讲解,800,"","",
GZ-GUIDE-02,广州,导游,市场向导/买手,4h陪同（带领逛专业市场/批发市场）,500,"",次,
GZ-HOTEL-01,广州,酒店,雅致酒店（珠江新城店）,城景双床/含早2,1400,"","",
GZ-HOTEL-02,广州,酒店,希诺甄选X酒店（北京路步行街大佛古寺店）,大床/双床差不多价/四星/含早,800,"","",
GZ-HOTEL-03,广州,酒店,全季酒店（广州沙面岛同福西地铁站店）,双床/三星/含早2,550,"","",
GZ-TRANS-01,广州,车辆,5座车,市内包车+司机,800,"","",
GZ-TRANS-02,广州,车辆,7座车,市内包车+司机,900,"","",
GZ-TRANS-03,广州,车辆,接送白云机场,举牌+单程,500,"","",
GZ-TRANS-04,广州,车辆,接送广州南站,举牌+单程,200,"","",
GZ-TRANS-05,广州,车辆,市内+古龙峡往返,7座包车+司机,1300,"",天,"",跨市长途，费用较高
GZ-TRANS-06,广州,打车,滴滴快车,市内,200,"",天,"",
GZ-TRANS-07,广州,打车,滴滴快车,市内+古龙峡,250,"",天,"",
