项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,项目备注
YS-ACTIVITY-01,阳朔,活动,中餐烹饪体验,市场买菜+烹饪课程,200,,,
YS-ACTIVITY-02,阳朔,活动,全地形山地车,含教练 / 装备,200-300,,小时 / 人,
YS-ACTIVITY-03,阳朔,活动,十里画廊骑行,自行车租赁,20,,,
YS-ACTIVITY-04,阳朔,活动,古镇,免费,0,,,免费开放
YS-ACTIVITY-05,阳朔,活动,岩洞探险,月亮水岩洞，含英文专业教练（提前2天约）,300,,,
YS-ACTIVITY-06,阳朔,活动,漓江电动竹筏,兴坪-九马画山往返（4人筏 可拼）,140,,,
YS-ACTIVITY-07,阳朔,活动,遇龙河漂流,双人筏 20操作费,220,,,
YS-ACTIVITY-08,阳朔,活动,阳朔西街,街区免费，酒吧 / 餐饮另计,0,,,免费开放
YS-ACTIVITY-09,阳朔,活动,飞拉达,攀岩体验，含英文专业教练（提前2天约）,300,,,
YS-TICKET-01,阳朔,门票,月亮山,赏月道,0,,,
YS-TICKET-02,阳朔,门票,相公山,门票,60,,,
YS-GUIDE-01,阳朔,导游,英文导游-初级,8h景点讲解,700,"","",
YS-HOTEL-01,阳朔,酒店,阳朔瓦畔隐舍,双床含早五星,800,"","",
YS-HOTEL-02,阳朔,酒店,全季酒店阳朔西街店,三星高级双床房，含2份早餐,400,"","",
YS-HOTEL-03,阳朔,酒店,漓江璞闲文旅酒店,四星高级双床房，含2份早餐,600,"","",
YS-TRANS-01,阳朔,车辆,5座车,县内包车+司机（含司机住补）,600,"","",
YS-TRANS-02,阳朔,车辆,7座车,县内包车+司机（含司机住补）,700,"","",
YS-TRANS-03,阳朔,车辆,接送桂林两江机场,举牌+单程,200,"",次,"",阳朔-桂林机场
YS-TRANS-04,阳朔,车辆,接送阳朔站(高铁站),举牌+单程,100,"",次,"",阳朔高铁站在兴坪
YS-TRANS-05,阳朔,打车,滴滴快车,县内,200,"",天,"",
