项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,项目备注
YN-ACTIVITY-01,云南,活动,周城扎染坊,参观或体验,25,,,
YN-ACTIVITY-02,云南,活动,周城扎染坊 (白族扎染体验),含材料/指导,80,,,估算价
YN-ACTIVITY-03,云南,活动,唐卡绘制体验,含材料/指导，作品可带走,200-500,,人,
YN-ACTIVITY-05,云南,活动,昆明老街,街区免费,0,,,街区免费，购物/餐饮另计
YN-ACTIVITY-07,云南,活动,白族文化体验,如白族歌舞/三道茶体验,100,,,估算价
YN-ACTIVITY-08,云南,活动,白族民居三道茶,含参观及品茶,38,,,
YN-ACTIVITY-09,云南,活动,纳西文化体验,东巴纸 / 东巴画等,80-150,,人,
YN-ACTIVITY-10,云南,活动,藏族文化体验(唐卡),唐卡绘制体验课（基础）,200,,,
YN-TICKET-01,云南,门票,丽江古城,免费,0,,,免费开放，但需缴纳古城维护费
YN-TICKET-02,云南,门票,丽江古城维护费,进入古城需缴,50,,,
YN-TICKET-03,云南,门票,大理古城,免费,0,,,免费开放
YN-TICKET-04,云南,门票,崇圣寺三塔,含电瓶车,90,,,
YN-TICKET-05,云南,门票,普达措国家公园,门票+观光车,138,,,
YN-TICKET-06,云南,门票,洱海生态廊道电瓶车,单程或分段,25,,,
YN-TICKET-07,云南,门票,独克宗,免费,0,,,免费开放
YN-TICKET-08,云南,门票,独克宗古城,免费,0,,,免费开放
YN-TICKET-09,云南,门票,虎跳峡,景区门票,45,,,
YN-TICKET-10,云南,门票,昆明石林,门票+观光车,175,,,从活动移入，单价为估算门票+观光车
YN-TICKET-11,云南,门票,洱海,免费,0,,,从活动移入，免费开放
YN-TICKET-12,云南,门票,香格里拉,如松赞林寺门票,90,,,从活动移入，单价为主要景点估算价
YN-HOTEL-01,云南,酒店,丽江古城金府酒店,四星,400,,,
YN-HOTEL-02,云南,酒店,大理古城江南居酒店,三星,300,,,
YN-HOTEL-03,云南,酒店,香格里拉高山别庄,五星/含早2,1500,,,估算价
YN-GUIDE-01,云南,导游,英文导游-初级,8h景点讲解,800,,,估算价
YN-TRANS-01,云南,车辆,5座车,包车+司机,700,,,估算价
YN-TRANS-02,云南,车辆,7座车,包车+司机,800,,,估算价
YN-TRANS-03,云南,车辆,接送昆明长水机场,举牌+单程,200,,,估算价
YN-TRANS-04,云南,车辆,接送丽江三义机场,举牌+单程,150,,,估算价
YN-TRANS-05,云南,车辆,接送大理机场,举牌+单程,150,,,估算价
YN-TRANS-06,云南,车辆,丽江-香格里拉往返,7座包车+司机,1200,,,估算价
YN-TRANS-07,云南,车辆,滴滴快车,市内,150,,,估算价
YN-ADD-01,云南,补贴服务费,司导餐住补贴,司导餐补50/人，住宿300/晚,350,,,估算价
YN-ACTIVITY-11,云南,活动,返回丽江,行程过渡（无费用）,0,,,
