,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,产品名称,Shanghai 2 Days,,,产品名称,Shanghai 2 Days,,,,,,,,,,,,,,,
,产品编号,SH-P-01,,,产品编号,SH-P-01,,,,,,,,,,,,,,,
,市内交通方式,半自助打车,,,市内交通方式,私家团,,,,,,,,,,,,,,,
,行程,,,,行程,,,,,,,,,,,,,,,,
,D1,公园+上博+豫园+城隍庙+外滩+夜游,,,D1,公园+上博+豫园+城隍庙+外滩+夜游,,,,,,,,,,,,,,,
,D2,一大+静安寺+武康路+法租界小酌(推荐),,,D2,一大+静安寺+武康路+法租界小酌(推荐),,,,,,,,,,,,,,,
,产品成本,2580,,,产品成本,4360,,,,,,,,,,,,,,,
,利润保留,30%,,,利润保留,30%,,,,,,,,,,,,,,,
,售价,3354,,,售价,5668,,,,,,,,,,,,,,,
,单人售价/2人,1677,,,单人售价/4人,1417,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,日期,项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,数量（2人）,数量（4人）,小计（2人）,小计（4人）,备注,,,,,,,
,Day 1,SH-TICKET-01,上海,门票,上海博物馆,"免费, 需预约",0,,,2,4,0,0,,,,,,,,
,Day 1,SH-TICKET-7,上海,门票,城隍庙,门票（送3根清香）,10,,,2,4,20,40,,,,,,,,
,Day 1,SH-TICKET-02,上海,门票,豫园,门票,30,40,人,2,4,60,120,,,,,,,,
,Day 1,SH-GUIDE-01,上海,导游,英文导游-初级,8h景点讲解,1200,,天,1,1,1200,1200,,,,,,,,
,Day 1,SH-ACTIVITY-01,上海,活动,黄浦江夜游,（含自助）,286,,人,,,0,0,,,,,,,,
,Day 1,SH-TRANS-06,上海,打车,滴滴快车,市内,200,,天,,0,0,0,,,,,,,,
,Day 1,SH-TRANS-02,上海,车辆,7座车,市内包车+司机,800,,天,,1,0,800,,,,,,,,
,Day 1,SH-REC-01,上海,推荐活动,荣记95台州菜,人均300-500,,,,,,0,0,,,,,,,,
,Day 1,SH-REC-02,上海,推荐活动,露台酒吧,人均300,,,,,,0,0,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,
