项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,项目备注
XA-ACTIVITY-01,西安,活动,兵马俑DIY体验,制作小型兵马俑模型,55,,,
XA-ACTIVITY-02,西安,活动,唐乐舞表演,贵宾票,198,,,
XA-ACTIVITY-03,西安,活动,回民街,街区免费，小吃人均50-100 元,0,,,免费开放，消费自理
XA-ACTIVITY-04,西安,活动,城墙自行车租赁,单人车,45,2小时,人,
XA-ACTIVITY-05,西安,活动,大唐不夜城,街区免费，演出 / 汉服租赁另计,0,,,免费开放，消费自理
XA-TICKET-01,西安,门票,大唐芙蓉园,门票,120,,,
XA-TICKET-02,西安,门票,大慈恩寺,门票,45,,,
XA-TICKET-03,西安,门票,大雁塔登塔费,登塔费,25,,,
XA-TICKET-04,西安,门票,秦始皇兵马俑博物馆,门票,120,,,
XA-TICKET-05,西安,门票,西安城墙,门票,54,,,
XA-TICKET-06,西安,门票,钟鼓楼,钟楼、鼓楼联票,50,,,
XA-TICKET-07,西安,门票,骊山园,与兵马俑为联票,0,,,
XA-GUIDE-01,西安,导游,英文导游-初级,8h景点讲解,900,"","",
XA-GUIDE-02,西安,导游,兵马俑深度讲解,2-3小时专业讲解,500,"",次,
XA-HOTEL-01,西安,酒店,西安唐华华邑酒店(大雁塔大唐不夜城店),双床含早五星,1200,"","",
XA-HOTEL-02,西安,酒店,西安钟鼓楼广场亚朵酒店,双床/四星/含早,500,"","",
XA-HOTEL-03,西安,酒店,全季酒店(西安钟楼永宁门地铁站店),双床/三星/含早2,400,"","",
XA-TRANS-01,西安,车辆,5座车,市内+兵马俑包车+司机,500,"","",
XA-TRANS-02,西安,车辆,7座车,市内+兵马俑包车+司机,600,"","",
XA-TRANS-03,西安,车辆,接送咸阳机场,举牌+单程,200,"","",
XA-TRANS-04,西安,车辆,接送西安北站(高铁站),举牌+单程,150,"","",
XA-TRANS-05,西安,打车,滴滴快车,市内,180,"","",
XA-TRANS-06,西安,打车,滴滴快车,市内+兵马俑,500,"",天,"",
