项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,项目备注
BJ-GUIDE-01,北京,导游,英文导游-初级,8h景点讲解,800,"
",天,"
"
BJ-GUIDE-02,北京,导游,英文导游-高级,8h景点讲解,800,"
",天,"
"
SH-GUIDE-01,上海,导游,英文导游-初级,8h景点讲解,1200,"
",天,"
"
SH-GUIDE-02,上海,导游,英文导游-高级,8h景点讲解,1500,"
",天,"
"
GZ-GUIDE-01,广州,导游,英文导游-初级,8h景点讲解,800,"
",天,"
"
GZ-GUIDE-02,广州,导游,市场向导/买手,4h陪同（带领逛专业市场/批发市场）,500,"
","
",次
CQ-GUIDE-01,重庆,导游,英文导游-初级,8h景点讲解,600,"
",天,"
"
YS-GUIDE-01,阳朔,导游,英文导游-初级,8h景点讲解,700,"
",天,"
"
ZJJ-GUIDE-01,张家界,导游,英文导游-初级,8h景点讲解,700,"
",天,"
"
XA-GUIDE-01,西安,导游,英文导游-初级,8h景点讲解,900,"
",天,"
"
XA-GUIDE-02,西安,导游,兵马俑深度讲解,2-3小时专业讲解,500,"
","
",次,针对兵马俑的持证专家级导游
YN-GUIDE-01,云南全境,导游,英文导游,全程陪同讲解,500,"
",天,按实际天数计算
GUIZ-GUIDE-01,贵州全境,导游,英文导游-初级,8h景点讲解,800,"
",天,"
"
