,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,产品名称,Beijing 2 days,,,产品名称,Beijing 2 days,,,,,,,,,,,,,,,
,产品编号,BJ-P-01,,,产品编号,BJ-P-01,,,,,,,,,,,,,,,
,市内交通方式,半自助打车,,,市内交通方式,私家团,,,,,,,,,,,,,,,
,行程,,,,行程,,,,,,,,,,,,,,,,
,D1,天安门+故宫+景山+胡同游+京剧,,,D1,天安门+故宫+景山+胡同游+京剧,,,,,,,,,,,,,,,
,D2,长城+颐和园,,,D2,长城+颐和园,,,,,,,,,,,,,,,
,产品成本,2684,,,产品成本,5068,,,,,,,,,,,,,,,
,供应商操作费,10%,268.4,,供应商操作费,10%,506.8,,,,,,,,,,,,,,
,利润保留,30%,885.72,,利润保留,30%,1672.44,,,,,,,,,,,,,,
,售价,3838.12,,,售价,7247.24,,,,,,,,,,,,,,,
,单人售价/2人,1919.06,,,单人售价/4人,1811.81,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,日期,项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,数量（2人）,数量（4人）,小计（2人）,小计（4人）,备注,,,,,,,
,Day 1,BJ-TICKET-01,北京,门票,故宫,门票（周一闭馆）,40,60,人,2,4,80,160,,,,,,,,
,Day 1,BJ-TICKET-02,北京,门票,景山,门票,2,,人,2,4,4,8,,,,,,,,
,Day 1,BJ-GUIDE-01,北京,导游,全天英文讲解,8h景点讲解 陪同,800,,天,1,1,800,800,,,,,,,,
,Day 1,BJ-ACTIVITY-01,北京,活动,胡同游,包含人力三轮 + 导览,300,,人,2,4,600,1200,,,,,,,,
,Day 1,BJ-TRANS-06,北京,打车,滴滴快车,市内,200,,天,,0,0,0,,,,,,,,
,Day 1,BJ-TRANS-02,北京,车辆,7座车,市内包车+司机,650,,天,,1,0,650,,,,,,,,
,Day 1,BJ-ACTIVITY-02,北京,活动,梨园京剧,19:30场，1h 含演出票+茶水+京味小吃，168/268/398 三档 （不是每天都有，当月会公布演出剧目和时间）;晚餐时间17:30-21:00，人均100+（前门建国饭店·兰芳厅）,400,,人,,,0,0,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,
,Day 2,BJ-TICKET-03,北京,门票,慕田峪长城,含往返摆渡车和往返索道,180,,人,2,4,360,720,,,,,,,,
,Day 2,BJ-TICKET-04,北京,门票,颐和园,门票,20,30,人,2,4,40,80,,,,,,,,
,Day 2,BJ-GUIDE-01,北京,导游,全天英文讲解,8h景点讲解 陪同,800,,天,1,1,800,800,,,,,,,,
,Day 2,BJ-TRANS-07,北京,打车,滴滴快车,市内+郊区,500,,天,,0,0,0,,,,,,,,
,Day 2,BJ-TRANS-02,北京,车辆,7座车,市内包车+司机,650,,天,,1,0,650,,,,,,,,
,Day 2,BJ-REC-02,北京,推荐活动,涮肉,人均120,,,人,,0,0,0,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,
,总计,,,,,,,,,,,2684,5068,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,产品名称,Beijing 3 days,,,产品名称,Beijing 3 days,,,,,,,,,,,,,,,
,产品编号,BJ-P-03,,,产品编号,BJ-P-03,,,,,,,,,,,,,,,
,市内交通方式,半自助打车,,,市内交通方式,私家团,,,,,,,,,,,,,,,
,行程,,,,行程,,,,,,,,,,,,,,,,
,D1,天安门+故宫+景山+胡同游,,,D1,天安门+故宫+景山+胡同游,,,,,,,,,,,,,,,
,D2,长城+颐和园,,,D2,长城+颐和园,,,,,,,,,,,,,,,
,D3,雍和宫+天坛,,,D3,雍和宫+天坛,,,,,,,,,,,,,,,
,产品成本,3590,,,产品成本,6730,,,,,,,,,,,,,,,
,供应商操作费,10%,359,,供应商操作费,10%,673,,,,,,,,,,,,,,
,利润保留,30%,,,利润保留,30%,,,,,,,,,,,,,,,
,售价,5133.7,,,售价,9623.9,,,,,,,,,,,,,,,
,单人售价/2人,2566.85,,,单人售价/4人,2405.975,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,日期,项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,数量（2人）,数量（4人）,小计（2人）,小计（4人）,备注,,,,,,,
,Day 1,BJ-TICKET-01,北京,门票,故宫,门票（周一闭馆）,40,60,人,2,4,80,160,,,,,,,,
,Day 1,BJ-TICKET-02,北京,门票,景山,门票,2,,人,2,4,4,8,,,,,,,,
,Day 1,BJ-GUIDE-01,北京,导游,全天英文讲解,8h景点讲解 陪同,800,,天,1,1,800,800,,,,,,,,
,Day 1,BJ-ACTIVITY-01,北京,活动,胡同游,包含人力三轮 + 导览,300,,人,2,4,600,1200,,,,,,,,
,Day 1,BJ-TRANS-06,北京,打车,滴滴快车,市内,200,,天,,0,0,0,,,,,,,,
,Day 1,BJ-TRANS-02,北京,车辆,7座车,市内包车+司机,650,,天,,1,0,650,,,,,,,,
,Day 1,BJ-ACTIVITY-02,北京,活动,梨园京剧,19:30场，1h 含演出票+茶水+京味小吃，168/268/398 三档 （不是每天都有，当月会公布演出剧目和时间）;晚餐时间17:30-21:00，人均100+（前门建国饭店·兰芳厅）,400,,人,,,0,0,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,
,Day 2,BJ-TICKET-03,北京,门票,慕田峪长城,含往返摆渡车和往返索道,180,,人,2,4,360,720,,,,,,,,
,Day 2,BJ-TICKET-04,北京,门票,颐和园,门票,20,30,人,2,4,40,80,,,,,,,,
,Day 2,BJ-GUIDE-01,北京,导游,全天英文讲解,8h景点讲解 陪同,800,,天,1,1,800,800,,,,,,,,
,Day 2,BJ-TRANS-07,北京,打车,滴滴快车,市内+郊区,500,,天,,0,0,0,,,,,,,,
,Day 2,BJ-TRANS-02,北京,车辆,7座车,市内包车+司机,650,,天,,1,0,650,,,,,,,,
,Day 2,BJ-REC-02,北京,推荐活动,涮肉,人均120,,,人,,,0,0,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,
,Day 3,BJ-TICKET-05,北京,门票,雍和宫,门票,25,,人,2,4,50,100,,,,,,,,
,Day 3,BJ-TICKET-06,北京,门票,天坛,联票（祈年殿周一闭馆）,28,34,人,2,4,56,112,,,,,,,,
