node_name,storyline,node_type,dwell_time_min,recommended_action,tags,is_free
武康大楼,武康安福：多巴胺生活家,视觉,20,拍照打卡，感受历史建筑魅力,"地标, 历史",True
宋庆龄故居,武康安福：多巴胺生活家,历史,60,参观故居，了解宋庆龄生平,"历史, 文化",False
城市交集,武康安福：多巴胺生活家,文化,30,观展、盖章、购买文创产品,"文化, 艺术",True
老麦咖啡馆,武康安福：多巴胺生活家,味觉,40,品尝咖啡，体验复古氛围,"咖啡, 休闲",False
大隐书局,武康安福：多巴胺生活家,文化,30,购书、盖章、购买文创产品,"文化, 书店",False
武康庭,武康安福：多巴胺生活家,视觉,20,喝咖啡、拍照,"拍照, 休闲",False
集雅,武康安福：多巴胺生活家,视觉,30,喝咖啡、欣赏瓷器,"咖啡, 文化",False
巴金故居,武康安福：多巴胺生活家,历史,40,参观故居，了解巴金生平,"历史, 文化",False
罗密欧阳台,武康安福：多巴胺生活家,视觉,15,拍照打卡,"拍照, 网红",False
Birdie Cup Coffee,武康安福：多巴胺生活家,味觉,20,品尝咖啡,"咖啡, 网红",False
13DE MARZO,武康安福：多巴胺生活家,购物,30,购物、喝咖啡,"购物, 网红",False
D.Desirable,武康安福：多巴胺生活家,购物,30,购物、喝咖啡,"购物, 潮牌",False
Wiggle Wiggle,武康安福：多巴胺生活家,购物,30,购物、拍照,"购物, 网红",False
brandy melville,武康安福：多巴胺生活家,购物,30,购物,"购物, 时尚",False
多抓鱼循环商店,武康安福：多巴胺生活家,购物,40,购物、看书,"购物, 二手",False
申井冰店,武康安福：多巴胺生活家,味觉,20,品尝甜品,"甜品, 网红",False
LOOKNOW PARK,武康安福：多巴胺生活家,购物,40,购物,"购物, 网红",False
映水芙蓉,武康安福：多巴胺生活家,味觉,60,品尝川菜,"川菜, 美食",False
GM巨人展,武康安福：多巴胺生活家,文化,30,观展、喝咖啡,"展览, 文化",False
Niko and,武康安福：多巴胺生活家,购物,40,购物,"购物, 杂货",False
米仓POP,武康安福：多巴胺生活家,味觉,30,品尝松饼和舒芙蕾,"甜点, 网红",False
名创优品,武康安福：多巴胺生活家,购物,20,购物,"购物, 网红",False
老麦咖啡,武康安福：多巴胺生活家,味觉,30,点杯招牌老麦咖啡，坐在窗边感受悠闲时光,"咖啡馆, 网红",True
