项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,项目备注
BJ-REC-01,北京,推荐活动,烤鸭,人均120,"
","
",人,"
"
BJ-REC-02,北京,推荐活动,涮肉,人均120,"
","
",人,"
"
BJ-REC-03,北京,推荐活动,胡同酒馆,人均30起,"
","
",人,"
"
SH-REC-01,上海,推荐活动,荣记95台州菜,人均300-500,"
","
",人,外滩/露台餐厅推荐
SH-REC-02,上海,推荐活动,露台酒吧,人均300,"
","
",人,外滩附近酒吧推荐
SH-REC-03,上海,推荐活动,法租界小酌,人均150,"
","
",人,武康路附近特色小馆推荐
SH-REC-04,上海,推荐活动,古镇上海本帮菜,人均150,"
","
",人,朱家角当地餐厅推荐
GZ-REC-01,广州,推荐活动,冰啤/大排档,人均80,"
","
",人,广州夜市文化体验
GZ-REC-02,广州,推荐活动,新兴饭店（粤菜）,人均120,"
","
",人,地道粤菜馆
GZ-REC-03,广州,推荐活动,SPA自助（中高端）,人均600-900,"
","
",人,大型水疗中心，含餐食
CQ-REC-01,重庆,推荐活动,盖碗茶,人均30,"
","
",人,体验当地慢生活
CQ-REC-02,重庆,推荐活动,洪崖洞火锅,人均150,"
","
",人,热门景观位火锅推荐
YS-REC-01,阳朔,推荐活动,啤酒鱼,人均80,"
","
",人,阳朔特色菜
ZJJ-REC-01,张家界,推荐活动,三下锅,人均70,"
","
",人,张家界特色菜
XA-REC-01,西安,推荐活动,回民街小吃,人均20起,"
","
",人,品尝肉夹馍、凉皮、牛羊肉泡馍等
YN-REC-01,云南全境,推荐-餐饮,正餐参考价,不含在成本内，供报价参考,70,"
",人/餐,根据人数55-100元浮动
YN-REC-02,昆明,推荐活动,过桥米线,人均50,"
","
",人,"
"
YN-REC-03,丽江,推荐活动,牦牛火锅,人均100,"
","
",人,"
"
GUIZ-REC-01,贵阳,推荐活动,酸汤鱼,人均80,"
","
",人,"
"
GUIZ-REC-02,黔东南,推荐活动,长桌宴,人均70,"
","
",人,在肇兴侗寨或西江苗寨
CD-REC-01,成都,推荐餐饮,串串香,,100,,人,,,,,,,,,,,,,
