项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,项目备注
SH-ACTIVITY-01,上海,活动,外滩,观景免费，游船 / 登楼另计,0,,,免费开放
SH-ACTIVITY-02,上海,活动,外滩用餐,景观餐厅 / 本帮菜,100-200,,人,
SH-ACTIVITY-03,上海,活动,本帮菜,普通餐厅,70-120,,人,
SH-ACTIVITY-04,上海,活动,武康路,街区漫步免费，咖啡馆 / 餐厅另计,0,,,免费开放
SH-ACTIVITY-05,上海,活动,汉服体验,妆造+跟拍+精修，499起,500,,,
SH-ACTIVITY-06,上海,活动,法租界小酌,酒吧 / 清吧,100-150,,人,
SH-ACTIVITY-07,上海,活动,非遗老布手工体验,朱家角,80,,,估算价
SH-ACTIVITY-08,上海,活动,黄浦江夜游,龙船，十六铺码头往返（含自助）,286,,,
SH-TICKET-01,上海,门票,上海博物馆,免费无需预约,0,,,
SH-TICKET-02,上海,门票,中共一大会址纪念馆,免费，需实名预约,0,,,
SH-TICKET-03,上海,门票,人民公园 (上海),免费,0,,,免费开放，内部消费另计
SH-TICKET-04,上海,门票,城隍庙,门票（送3根清香）,10,,,
SH-TICKET-05,上海,门票,朱家角古镇,大门票,0,,,免费开放
SH-TICKET-06,上海,门票,豫园,门票,30,40,人,
SH-TICKET-07,上海,门票,迪士尼乐园,平日票,475,719,人,价格分级多，此为常规和平日高峰估算价
SH-TICKET-08,上海,门票,静安寺,门票,50,,,
SH-GUIDE-01,上海,导游,英文导游-初级,8h景点讲解,1200,"","",
SH-GUIDE-02,上海,导游,英文导游-高级,8h景点讲解,1500,"","",
SH-HOTEL-01,上海,酒店,上海全季酒店静安寺康定路店,三星商务双床房，含2份早餐,550,"","",
SH-HOTEL-02,上海,酒店,上海外滩滨江珍宝酒店,珍宝舒适双床房，含2份早餐,900,"","",
SH-HOTEL-03,上海,酒店,上海外滩花间堂·愉园,景观双床房，含2份早餐,1400,"","",
SH-TRANS-01,上海,车辆,5座车,市内包车+司机,600,"","",
SH-TRANS-02,上海,车辆,7座车,市内包车+司机,800,"","",
SH-TRANS-03,上海,车辆,接送虹桥机场/火车站,举牌+单程,150,"","",
SH-TRANS-04,上海,车辆,接送浦东机场,举牌+单程,150,"","",
SH-TRANS-05,上海,车辆,市内+朱家角/迪士尼往返,包车+司机,900,"","",
SH-TRANS-06,上海,打车,滴滴快车,市内,200,"","",
SH-TRANS-07,上海,打车,滴滴快车,朱家角/迪士尼,300,"","",
