项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,项目备注
BJ-ACTIVITY-01,北京,活动,梨园京剧,19:30场 1h 含演出票+茶水+京味小吃,400,400,人,
BJ-ACTIVITY-02,北京,活动,汉服体验,妆造+跟拍+精修 499起,500,500,人,
BJ-ACTIVITY-03,北京,活动,涮肉,,120,120,人,
BJ-ACTIVITY-04,北京,活动,烤鸭,,120,120,人,
BJ-ACTIVITY-05,北京,活动,胡同游,包含人力三轮+导览,300,300,人,
BJ-ACTIVITY-06,北京,活动,胡同酒馆,含酒水/简餐 视酒馆档次(原价80-150),115,115,人,从门票移入
BJ-TICKET-01,北京,门票,天坛,联票（祈年殿周一闭馆）,28,34,人,
BJ-TICKET-02,北京,门票,天安门广场,,0,0,人,免费需预约
BJ-TICKET-03,北京,门票,奥林匹克公园,,0,0,人,免费需预约
BJ-TICKET-04,北京,门票,慕田峪长城,含往返摆渡车和往返索道,180,180,人,
BJ-TICKET-05,北京,门票,故宫,门票（周一闭馆）,40,60,人,
BJ-TICKET-06,北京,门票,景山,门票,2,2,人,
BJ-TICKET-07,北京,门票,雍和宫,门票,25,25,人,
BJ-TICKET-08,北京,门票,颐和园,门票,20,30,人,
BJ-TICKET-09,北京,门票,人民大会堂,外景免费 入内参观需购票（约30元）,0,0,人,从活动移入
BJ-TICKET-10,北京,门票,毛泽东纪念堂,,0,0,人,免费需预约
BJ-GUIDE-01,北京,导游,英文导游-初级,8h景点讲解,800,800,天,
BJ-GUIDE-02,北京,导游,英文导游-高级,8h景点讲解,800,800,天,
BJ-HOTEL-01,北京,酒店,全季酒店（北京亚运村小营店）,双床房含2份早餐 5环,550,550,间,
BJ-HOTEL-02,北京,酒店,全季酒店（北京前门四合院店）,双床房含2份早餐 市中心,800,800,间,
BJ-HOTEL-03,北京,酒店,青普文化行馆,大床房含早+艺文轻体验+酒庄探秘,1000,1000,间,怀来八达岭瑞云店
BJ-TRANS-01,北京,车辆,5座车,市内包车+司机,500,500,天,
BJ-TRANS-02,北京,车辆,7座车,市内包车+司机,650,650,天,
BJ-TRANS-03,北京,车辆,接送北京南站,举牌+单程,100,100,次,
BJ-TRANS-04,北京,车辆,接送首都机场,举牌+单程,200,200,次,
BJ-TRANS-05,北京,车辆,接送大兴机场,举牌+单程,200,200,次,
BJ-TRANS-06,北京,打车,滴滴快车,市内,200,200,天,预估
BJ-TRANS-07,北京,打车,滴滴快车,市内+郊区,500,500,天,预估
