项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,项目备注
BJ-TRANS-01,北京,车辆,5座车,市内包车+司机,500,"
",天,"
"
BJ-TRANS-02,北京,车辆,7座车,市内包车+司机,650,"
",天,"
"
BJ-TRANS-03,北京,车辆,接送北京南站,举牌+单程,100,"
",次,"
"
BJ-TRANS-04,北京,车辆,接送首都机场,举牌+单程,200,"
",次,"
"
BJ-TRANS-05,北京,车辆,接送大兴机场,举牌+单程,200,"
",次,"
"
BJ-TRANS-06,北京,打车,滴滴快车,市内,200,"
",天,"
"
BJ-TRANS-07,北京,打车,滴滴快车,市内+郊区,500,"
",天,"
"
SH-TRANS-01,上海,车辆,5座车,市内包车+司机,600,"
",天,"
"
SH-TRANS-02,上海,车辆,7座车,市内包车+司机,800,"
",天,"
"
SH-TRANS-03,上海,车辆,接送虹桥机场/火车站,举牌+单程,150,"
",次,"
"
SH-TRANS-04,上海,车辆,接送浦东机场,举牌+单程,150,"
",次,"
"
SH-TRANS-05,上海,车辆,市内+朱家角/迪士尼往返,包车+司机,900,"
",天,"
"
SH-TRANS-06,上海,打车,滴滴快车,市内,200,"
",天,"
"
SH-TRANS-07,上海,打车,滴滴快车,朱家角/迪士尼,300,"
",天,"
"
GZ-TRANS-01,广州,车辆,5座车,市内包车+司机,800,"
",天,"
"
GZ-TRANS-02,广州,车辆,7座车,市内包车+司机,900,"
",天,"
"
GZ-TRANS-03,广州,车辆,接送白云机场,举牌+单程,500,"
",次,"
"
GZ-TRANS-04,广州,车辆,接送广州南站,举牌+单程,200,"
",次,"
"
GZ-TRANS-05,广州,车辆,市内+古龙峡往返,7座包车+司机,1300,"
",天,跨市长途，费用较高
GZ-TRANS-06,广州,打车,滴滴快车,市内,200,"
",天,"
"
GZ-TRANS-07,广州,打车,滴滴快车,市内+古龙峡,250,"
",天,"
"
CQ-TRANS-01,重庆,车辆,5座车,市内包车+司机,600,"
",天,"
"
CQ-TRANS-02,重庆,车辆,7座车,市内包车+司机,700,"
",天,"
"
CQ-TRANS-03,重庆,车辆,接送江北机场,举牌+单程,150,"
",次,"
"
CQ-TRANS-04,重庆,车辆,接送重庆北站/西站,举牌+单程,120,"
",次,"
"
CQ-TRANS-05,重庆,车辆,7座市内+武隆往返,包车+司机,1200,"
",天,山路长途，费用较高
CQ-TRANS-06,重庆,车辆,7座市内+大足石刻往返,包车+司机,1000,"
",天,"
"
CQ-TRANS-07,重庆,打车,滴滴快车,市内,200,"
",天,"
"
CQ-TRANS-08,重庆,打车,滴滴快车,市内+大足石刻往返,500,"
",天,"
"
CQ-TRANS-09,宜昌,车辆,7座三峡中心-宜昌东站,包车+司机,420,"
",天,"
"
CQ-TRANS-10,宜昌-重庆,高铁,二等座,单程票,180,"
",天,"
"
CQ-TRANS-11,宜昌,打车,滴滴快车,三峡中心-宜昌东站,150,"
",天,"
"
YS-TRANS-01,阳朔,车辆,5座车,县内包车+司机（含司机住补）,600,"
",天,"
"
YS-TRANS-02,阳朔,车辆,7座车,县内包车+司机（含司机住补）,700,"
",天,"
"
YS-TRANS-03,阳朔,车辆,接送桂林两江机场,举牌+单程,200,"
",次,阳朔-桂林机场
YS-TRANS-04,阳朔,车辆,接送阳朔站(高铁站),举牌+单程,100,"
",次,阳朔高铁站在兴坪
YS-TRANS-05,阳朔,打车,滴滴快车,县内,200,"
",天,"
"
ZJJ-TRANS-01,张家界,车辆,5座车,市区/森林公园区域包车+司机,500,"
",天,"
"
ZJJ-TRANS-02,张家界,车辆,7座车,市区/森林公园区域包车+司机,650,"
",天,"
"
ZJJ-TRANS-03,张家界,车辆,接送荷花机场/张家界站,举牌+单程,100,"
",次,"
"
ZJJ-TRANS-04,张家界,车辆,7座车,张家界-芙蓉镇-凤凰古城 包车+司机,1000,"
",天,"
"
ZJJ-TRANS-05,张家界,打车,滴滴快车,市区/森林公园,150,"
",天,"
"
XA-TRANS-01,西安,车辆,5座车,市内+兵马俑包车+司机,500,"
",天,"
"
XA-TRANS-02,西安,车辆,7座车,市内+兵马俑包车+司机,600,"
",天,"
"
XA-TRANS-03,西安,车辆,接送咸阳机场,举牌+单程,200,"
",次,"
"
XA-TRANS-04,西安,车辆,接送西安北站(高铁站),举牌+单程,150,"
",次,"
"
XA-TRANS-05,西安,打车,滴滴快车,市内,180,"
",天,"
"
XA-TRANS-06,西安,打车,滴滴快车,市内+兵马俑,500,"
",天,"
"
YN-TRANS-01,昆明,车辆,5座SUV (昆明段),接机送酒店送车站,300,"
",天,"
"
YN-TRANS-02,昆明,车辆,7座商务车 (昆明段),接机送酒店送车站,500,"
",天,"
"
YN-TRANS-03,大理-丽江-香格里拉,车辆,5座SUV (大理丽香段),大理、丽江、香格里拉区域全程包车,2400,"
",次,"
"
YN-TRANS-04,大理-丽江-香格里拉,车辆,7座商务车 (大理丽香段),大理、丽江、香格里拉区域全程包车,3200,"
",次,"
"
YN-TRANS-05,昆明-大理,交通,高铁二等座,单程票+认证手续费,160,"
",人,票价145+费用15
GUIZ-TRANS-01,贵阳,车辆,接送龙洞堡机场,举牌+单程,120,"
",次,"
"
GUIZ-TRANS-02,贵阳,车辆,7座市区-青岩古镇,包车+司机,1000,"
",天,"
"
GUIZ-TRANS-03,贵阳-凯里-荔波-贵阳,车辆,7座车,4天跨市包车,3500,"
",天,全程长途，路况复杂
GUIZ-TRANS-04,贵阳-凯里-荔波-贵阳,车辆,5座车,4天跨市包车,2800,"
",天,全程长途，路况复杂
