城市 (City),产品编号 (ProductID),产品名称 (ProductName),行程天数 (Duration),每日行程 (Daily Itinerary),常规项目 (Regular Items),可选项目 (Optional Items),常规项目项目编号列表,可选项目项目编号列表
北京,BJ-P-01,北京经典2日游,2,"Day 1: 天安门广场(外景)+毛泽东纪念堂(外景)+人民大会堂(外景)+故宫+景山+胡同什刹海+京剧演出和晚餐(可选)
Day 2: 慕田峪长城+颐和园+涮肉(推荐)","天安门广场, 毛泽东纪念堂, 人民大会堂, 故宫, 景山, 胡同游, 慕田峪长城, 颐和园","梨园京剧, 涮肉","BJ-TICKET-02, BJ-ACTIVITY-04, BJ-ACTIVITY-01, BJ-ACTIVITY-02, BJ-TICKET-06, BJ-ACTIVITY-05, BJ-TICKET-04, BJ-TICKET-09","BJ-ACTIVITY-03, BJ-ACTIVITY-06"
北京,BJ-P-02,北京深度3日游,3,"Day 1: 天安门广场(外景)+毛泽东纪念堂(外景)+人民大会堂(外景)+故宫+景山+胡同什刹海+京剧演出和晚餐(可选)
Day 2: 慕田峪长城+颐和园+涮肉(建议)
Day 3: 雍和宫+天坛+烤鸭(建议)","天安门广场, 毛泽东纪念堂, 人民大会堂, 故宫, 景山, 胡同游, 慕田峪长城, 颐和园, 雍和宫, 天坛","梨园京剧, 涮肉, 烤鸭","BJ-TICKET-02, BJ-ACTIVITY-04, BJ-ACTIVITY-01, BJ-ACTIVITY-02, BJ-TICKET-06, BJ-ACTIVITY-05, BJ-TICKET-04, BJ-TICKET-09, BJ-TICKET-08, BJ-TICKET-01","BJ-ACTIVITY-03, BJ-ACTIVITY-06, BJ-ACTIVITY-04"
北京,BJ-P-03,北京全景4日游,4,"Day 1: 天坛+雍和宫+京剧演出和晚餐(可选)
Day 2: 慕田峪长城+奥林匹克公园(外景)+涮肉(建议)
Day 3: 天安门广场(外景)+毛泽东纪念堂(外景)+人民大会堂(外景)+故宫+景山+胡同什刹海+烤鸭(建议)
Day 4: 颐和园+汉服体验(可选)+胡同酒馆(推荐)","天坛, 雍和宫, 慕田峪长城, 奥林匹克公园, 天安门广场, 毛泽东纪念堂, 人民大会堂, 故宫, 景山, 胡同游, 颐和园","梨园京剧, 涮肉, 烤鸭, 汉服体验, 胡同酒馆","BJ-TICKET-01, BJ-TICKET-08, BJ-TICKET-04, BJ-TICKET-03, BJ-TICKET-02, BJ-ACTIVITY-04, BJ-ACTIVITY-01, BJ-ACTIVITY-02, BJ-TICKET-06, BJ-ACTIVITY-05, BJ-TICKET-09","BJ-ACTIVITY-03, BJ-ACTIVITY-06, BJ-ACTIVITY-04, BJ-ACTIVITY-02, BJ-TICKET-07"
上海,SH-P-01,上海精华2日游,2,"Day 1: 人民公园+上海博物馆+豫园+城隍庙+外滩CW+黄浦江夜游(可选)+外滩用餐(推荐)
Day 2: 中共一大+静安寺+武康路+法租界小酌(推荐)","人民公园 (上海), 上海博物馆, 豫园, 城隍庙, 外滩, 中共一大会址纪念馆, 静安寺, 武康路","黄浦江夜游, 外滩用餐, 法租界小酌","SH-TICKET-03, SH-TICKET-01, SH-TICKET-06, SH-TICKET-04, SH-ACTIVITY-01, SH-TICKET-02, SH-TICKET-08, SH-ACTIVITY-04","SH-ACTIVITY-08, SH-ACTIVITY-02, SH-ACTIVITY-06"
上海,SH-P-02,上海江南3日游,3,"Day 1: 人民公园+上海博物馆+豫园+城隍庙+外滩CW+黄浦江夜游(可选)+外滩用餐(推荐)
Day 2: 朱家角古镇+非遗/汉服体验(可选)+本帮菜(推荐)
Day 3: 中共一大+静安寺+武康路+法租界小酌(推荐)","人民公园 (上海), 上海博物馆, 豫园, 城隍庙, 外滩, 朱家角古镇, 中共一大会址纪念馆, 静安寺, 武康路","黄浦江夜游, 外滩用餐, 非遗老布手工体验, 本帮菜, 法租界小酌","SH-TICKET-03, SH-TICKET-01, SH-TICKET-06, SH-TICKET-04, SH-ACTIVITY-01, SH-TICKET-05, SH-TICKET-02, SH-TICKET-08, SH-ACTIVITY-04","SH-ACTIVITY-08, SH-ACTIVITY-02, SH-ACTIVITY-07, SH-ACTIVITY-05, SH-ACTIVITY-03, SH-ACTIVITY-06"
上海,SH-P-03,上海乐园4日游,4,"Day 1: 人民公园+上海博物馆+豫园+城隍庙+外滩CW+外滩用餐(推荐)
Day 2: 朱家角古镇+非遗/汉服体验(可选)+本帮菜(推荐)
Day 3: 中共一大+静安寺+武康路+法租界小酌(推荐)
Day 4: 迪士尼","人民公园 (上海), 上海博物馆, 豫园, 城隍庙, 外滩, 朱家角古镇, 中共一大会址纪念馆, 静安寺, 武康路, 迪士尼乐园","外滩用餐, 非遗老布手工体验, 本帮菜, 法租界小酌","SH-TICKET-03, SH-TICKET-01, SH-TICKET-06, SH-TICKET-04, SH-ACTIVITY-01, SH-TICKET-05, SH-TICKET-02, SH-TICKET-08, SH-ACTIVITY-04, SH-TICKET-07","SH-ACTIVITY-02, SH-ACTIVITY-07, SH-ACTIVITY-05, SH-ACTIVITY-03, SH-ACTIVITY-06"
重庆,CQ-P-01,重庆山城2日游,2,"Day 1: 人民大礼堂+山城巷+长江索道+下浩里+盖碗茶(推荐)+川剧变脸(可选)
Day 2: 武隆+两江游(可选) 或 大足石刻+磁器口/麻花体验+洪崖洞火锅(推荐)","重庆人民大礼堂, 山城巷传统风貌区, 长江索道, 下浩里, 武隆, 大足石刻, 麻花制作体验","盖碗茶, 川剧变脸表演, 两江夜游, 洪崖洞火锅","CQ-TICKET-01, CQ-ACTIVITY-05, CQ-TICKET-05, CQ-ACTIVITY-03, CQ-TICKET-03, CQ-TICKET-02, CQ-ACTIVITY-09","CQ-ACTIVITY-08, CQ-ACTIVITY-06, CQ-ACTIVITY-04, CQ-ACTIVITY-07"
重庆,CQ-P-02,重庆山水3日游,3,"Day 1: 人民大礼堂+山城巷+长江索道+下浩里+盖碗茶(推荐)+川剧变脸(可选)
Day 2: 武隆+两江游(可选)+洪崖洞火锅(推荐)
Day 3: 大足石刻+磁器口古镇/制作麻花体验","重庆人民大礼堂, 山城巷传统风貌区, 长江索道, 下浩里, 武隆, 大足石刻, 麻花制作体验","盖碗茶, 川剧变脸表演, 两江夜游, 洪崖洞火锅","CQ-TICKET-01, CQ-ACTIVITY-05, CQ-TICKET-05, CQ-ACTIVITY-03, CQ-TICKET-03, CQ-TICKET-02, CQ-ACTIVITY-09","CQ-ACTIVITY-08, CQ-ACTIVITY-06, CQ-ACTIVITY-04, CQ-ACTIVITY-07"
重庆,CQ-P-03,重庆山水5日游,5,"Day 1: 人民大礼堂+山城巷传统风貌区 + 长江索道 + 下浩里 + 盖碗茶（推荐）+洪崖洞火锅推荐
Day 2: 大足石刻+开始游轮行
Day 3: 重庆-宜昌3日游轮+返回重庆","重庆人民大礼堂, 山城巷传统风貌区, 长江索道, 下浩里, 盖碗茶, 洪崖洞火锅, 大足石刻, 开始游轮行, 三峡游轮, 返回重庆",,"CQ-TICKET-01, CQ-ACTIVITY-05, CQ-TICKET-05, CQ-ACTIVITY-03, CQ-ACTIVITY-08, CQ-ACTIVITY-07, CQ-TICKET-02, CQ-ACTIVITY-01, CQ-ACTIVITY-02, CQ-TICKET-04"
西安,XA-P-01,西安古都2日游,2,"Day 1: 兵马俑博物馆+兵马俑DIY+骊山园+唐乐舞表演(可选)
Day 2: 明城墙骑行+钟鼓楼+回民街+大雁塔","秦始皇兵马俑博物馆, 兵马俑DIY体验, 骊山园, 西安城墙自行车租赁, 钟鼓楼, 回民街, 大慈恩寺 (大雁塔)",唐乐舞表演,"XA-TICKET-04, XA-ACTIVITY-01, XA-TICKET-07, XA-ACTIVITY-04, XA-TICKET-06, XA-ACTIVITY-03, XA-TICKET-02",XA-ACTIVITY-02
