node_name,address,node_type,region,brief_intro,practical_info,recommended_action,dwell_time_min,sequence_weight,tags
武康大楼,武康路与淮海中路交汇处,视觉,武康路-安福路,上海标志性建筑，法式老洋房风格,无门票信息，建议提前了解开放时间,拍照打卡，感受历史建筑魅力,20,10,"地标, 历史"
宋庆龄故居,武康路50号,历史,武康路-安福路,宋庆龄居住最久的家，包含主楼和文物馆,周一闭馆，门票20元/人，老人/学生半价,参观故居，了解宋庆龄生平,60,8,"历史, 文化"
城市交集,武康路附近,文化,武康路-安福路,免费观展空间，可盖章买明信片,无门票，具体开放时间需查询,观展、盖章、购买文创产品,30,7,"文化, 艺术"
老麦咖啡馆,武康路附近,味觉,武康路-安福路,复古风咖啡馆，咖啡口感醇厚,无具体信息，建议提前查询营业时间,品尝咖啡，体验复古氛围,40,6,"咖啡, 休闲"
大隐书局,武康路附近,文化,武康路-安福路,可盖章，售卖文创、明信片等,无具体信息，建议提前查询营业时间,购书、盖章、购买文创产品,30,5,"文化, 书店"
武康庭,武康路附近,视觉,武康路-安福路,喝咖啡休息处，有花店可拍照,无具体信息，建议提前查询营业时间,喝咖啡、拍照,20,4,"拍照, 休闲"
集雅,武康路附近,视觉,武康路-安福路,网红咖啡馆，中式庭院，有精美瓷器,无具体信息，建议提前查询营业时间,喝咖啡、欣赏瓷器,30,5,"咖啡, 文化"
巴金故居,武康路113号,历史,武康路-安福路,巴金在此生活了50年,无具体信息，建议提前查询开放时间,参观故居，了解巴金生平,40,7,"历史, 文化"
罗密欧阳台,武康路附近,视觉,武康路-安福路,网红拍照点，浪漫爱情的见证,无具体信息，建议提前查询开放时间,拍照打卡,15,6,"拍照, 网红"
Birdie Cup Coffee,武康路附近,味觉,武康路-安福路,网红咖啡馆,无具体信息，建议提前查询营业时间,品尝咖啡,20,5,"咖啡, 网红"
13DE MARZO,安福路附近,购物,武康路-安福路,一楼网红小熊咖啡，二楼服装，三楼饮品和各种小物品,无具体信息，建议提前查询营业时间,购物、喝咖啡,30,7,"购物, 网红"
D.Desirable,安福路附近,购物,武康路-安福路,王鹤棣首家潮牌店，一楼咖啡店可get王鹤棣同款咖啡，二楼是服装和展区,无具体信息，建议提前查询营业时间,购物、喝咖啡,30,6,"购物, 潮牌"
Wiggle Wiggle,安福路附近,购物,武康路-安福路,韩国知名潮牌！超可爱的多巴胺风,无具体信息，建议提前查询营业时间,购物、拍照,30,8,"购物, 网红"
brandy melville,安福路附近,购物,武康路-安福路,女生必逛 BM！超可爱的小码女装,无具体信息，建议提前查询营业时间,购物,30,7,"购物, 时尚"
多抓鱼循环商店,安福路附近,购物,武康路-安福路,二手书店和服装店的集合体！一楼墙上很多绘画，二楼图书区，三楼是服装区,无具体信息，建议提前查询营业时间,购物、看书,40,6,"购物, 二手"
申井冰店,安福路附近,味觉,武康路-安福路,网红日式甜品店,无具体信息，建议提前查询营业时间,品尝甜品,20,5,"甜品, 网红"
LOOKNOW PARK,淮海中路附近,购物,武康路-安福路,有三层楼，售卖服饰和jellycat玩偶,无具体信息，建议提前查询营业时间,购物,40,6,"购物, 网红"
映水芙蓉,淮海中路附近,味觉,武康路-安福路,超级精致的川菜馆,无具体信息，建议提前查询营业时间,品尝川菜,60,7,"川菜, 美食"
