项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,项目备注
ZJJ-ACTIVITY-01,张家界,活动,七星山飞拉达,攀岩体验（含门票）,372,,,
ZJJ-ACTIVITY-02,张家界,活动,三下锅,,40-60,,人,普通餐馆，3-4 人份约50-90 元
ZJJ-ACTIVITY-03,张家界,活动,沱江泛舟,白天,35,,,
ZJJ-ACTIVITY-04,张家界,活动,苗族长桌宴,特色餐，人均80,,,,
ZJJ-ACTIVITY-05,张家界,活动,魅力湘西表演,普通票,228,,,
ZJJ-TICKET-01,张家界,门票,七十二奇楼,门票,68,,,
ZJJ-TICKET-02,张家界,门票,凤凰古城,古城免费进入，沱江泛舟等需付费,免费,,,
ZJJ-TICKET-03,张家界,门票,天子山索道,单程,72,,,
ZJJ-TICKET-04,张家界,门票,天门山国家森林公园,A/B/C线套票，含索道+大巴,278,,,
ZJJ-TICKET-05,张家界,门票,张家界国家森林公园,门票,227,,,
ZJJ-TICKET-06,张家界,门票,百龙天梯,单程,65,,,
ZJJ-TICKET-07,张家界,门票,芙蓉镇,门票,108,,,
ZJJ-TICKET-08,张家界,门票,黄石寨索道,单程,65,,,
ZJJ-GUIDE-01,张家界,导游,英文导游-初级,8h景点讲解,700,"
",天,"
"
ZJJ-HOTEL-01,张家界,酒店,全季酒店张家界天门山索道店,三星大床含早,300,"
",间,"
"
ZJJ-HOTEL-02,张家界,酒店,张家界天门山希尔顿欢朋酒店,双床/四星/含早,400,"
",间,"
"
ZJJ-HOTEL-03,张家界,酒店,张家界栖石里洞穴民宿(张家界国家森林公园标志门店),双床含早五星,1200,"
",间,"
"
ZJJ-TRANS-01,张家界,车辆,5座车,市区/森林公园区域包车+司机,500,"
",天,"
"
ZJJ-TRANS-02,张家界,车辆,7座车,市区/森林公园区域包车+司机,650,"
",天,"
"
ZJJ-TRANS-03,张家界,车辆,接送荷花机场/张家界站,举牌+单程,100,"
",次,"
"
ZJJ-TRANS-04,张家界,车辆,7座车,张家界-芙蓉镇-凤凰古城 包车+司机,1000,"
",天,"
"
ZJJ-TRANS-05,张家界,打车,滴滴快车,市区/森林公园,150,"
",天,"
"
