项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,项目备注
BJ-HOTEL-01,北京,酒店,全季酒店（北京亚运村小营店）,双床房含2份早餐，5环,550,"
",间,"
"
BJ-HOTEL-02,北京,酒店,全季酒店（北京前门四合院店）,双床房含2份早餐，市中心,800,"
",间,"
"
BJ-HOTEL-03,北京,酒店,青普文化行馆（怀来八达岭瑞云店）,大床房含2份早餐 双人艺文轻体验2选1（古法药香/北京兔儿爷） 酒庄探秘讲解活动,1000,"
",间,"
"
SH-HOTEL-01,上海,酒店,上海全季酒店静安寺康定路店,三星商务双床房，含2份早餐,550,"
",间,"
"
SH-HOTEL-02,上海,酒店,上海外滩滨江珍宝酒店,珍宝舒适双床房，含2份早餐,900,"
",间,"
"
SH-HOTEL-03,上海,酒店,上海外滩花间堂·愉园,景观双床房，含2份早餐,1400,"
",间,"
"
GZ-HOTEL-01,广州,酒店,雅致酒店（珠江新城店）,城景双床/含早2,1400,"
",间,"
"
GZ-HOTEL-02,广州,酒店,希诺甄选X酒店（北京路步行街大佛古寺店）,大床/双床差不多价/四星/含早,800,"
",间,"
"
GZ-HOTEL-03,广州,酒店,全季酒店（广州沙面岛同福西地铁站店）,双床/三星/含早2,550,"
",间,"
"
CQ-ADD-01,重庆,补贴服务费,司导餐住补贴,320餐补 服务200/人,"
","
",次,住宿300+餐补350
CQ-HOTEL-01,重庆,酒店,重庆溯山1946,大床/5星/含早2,1200,"
",间,"
"
CQ-HOTEL-02,重庆,酒店,重庆江北观音桥步行街亚朵酒店,双床/四星/含早,500,"
",间,"
"
CQ-HOTEL-03,重庆,酒店,全季酒店（江北嘴蓝洋金融中心店）,双床含早三星,400,"
",间,"
"
YS-HOTEL-01,阳朔,酒店,阳朔瓦畔隐舍,双床含早五星,800,"
",间,"
"
YS-HOTEL-02,阳朔,酒店,全季酒店阳朔西街店,三星高级双床房，含2份早餐,400,"
",间,"
"
YS-HOTEL-03,阳朔,酒店,漓江璞闲文旅酒店,四星高级双床房，含2份早餐,600,"
",间,"
"
ZJJ-HOTEL-01,张家界,酒店,全季酒店张家界天门山索道店,三星大床含早,300,"
",间,"
"
ZJJ-HOTEL-02,张家界,酒店,张家界天门山希尔顿欢朋酒店,双床/四星/含早,400,"
",间,"
"
ZJJ-HOTEL-03,张家界,酒店,张家界栖石里洞穴民宿(张家界国家森林公园标志门店),双床含早五星,1200,"
",间,"
"
XA-HOTEL-01,西安,酒店,西安唐华华邑酒店(大雁塔大唐不夜城店),双床含早五星,1200,"
",间,"
"
XA-HOTEL-02,西安,酒店,西安钟鼓楼广场亚朵酒店,双床/四星/含早,500,"
",间,"
"
XA-HOTEL-03,西安,酒店,全季酒店(西安钟楼永宁门地铁站店),双床/三星/含早2,400,"
",间,"
"
YN-ADD-01,云南全境,司导补贴,司导餐住补贴,行程内司导的食宿补助,650,"
",次,住宿300+餐补350
YN-HOTEL-01,云南,酒店,丽江古城金府酒店,四星,400,"
","
","
"
YN-HOTEL-02,云南,酒店,大理古城江南居酒店,三星,300,"
","
","
"
GUIZ-HOTEL-01,贵州,酒店,一禾·侗晓民宿(肇兴侗寨店),四星高级双床房，含2份早餐,600,"
","
","
"
GUIZ-HOTEL-02,贵州,酒店,凯里舟马驿宾馆(下司古镇店),三星双床含早,300,"
","
","
"
