项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,项目备注
CD-ACTIVITY-01,成都,活动,串串,当地特色小吃，人均消费,80,,,估算价
CD-ACTIVITY-02,成都,活动,人民公园,喝茶体验，茶位费+小吃,50,,,估算价
CD-ACTIVITY-03,成都,活动,太古里,街区漫步/购物，人均消费,0,,,街区免费，购物/餐饮另计
CD-ACTIVITY-04,成都,活动,宽窄巷子,街区漫步/小吃，人均消费,0,,,街区免费，小吃/购物另计
CD-ACTIVITY-05,成都,活动,川剧变脸表演,含茶水小吃,180,,,估算价
CD-TICKET-01,成都,门票,大熊猫基地,门票,55,,,官方价
CD-TICKET-02,成都,门票,成都博物馆,免费，需预约,0,,,官方价
CD-TICKET-03,成都,门票,武侯祠,门票,50,,,官方价
CD-GUIDE-01,成都,导游,英文导游-初级,8h景点讲解,800,,,估算价
CD-HOTEL-01,成都,酒店,成都香格里拉大酒店,五星/含早2,1200,,,估算价
CD-HOTEL-02,成都,酒店,成都宽窄巷子亚朵酒店,四星/含早2,600,,,估算价
CD-HOTEL-03,成都,酒店,全季酒店（天府广场店）,三星/含早2,400,,,估算价
CD-TRANS-01,成都,车辆,5座车,市内包车+司机,600,,,估算价
CD-TRANS-02,成都,车辆,7座车,市内包车+司机,700,,,估算价
CD-TRANS-03,成都,车辆,接送双流机场,举牌+单程,150,,,估算价
CD-TRANS-04,成都,车辆,接送天府机场,举牌+单程,250,,,估算价
CD-TRANS-05,成都,车辆,滴滴快车,市内,200,,,估算价
CD-ADD-01,成都,补贴服务费,司导餐住补贴,司导餐补50/人，住宿300/晚,350,,,估算价
