项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,项目备注
GUIZ-ACTIVITY-01,贵州,活动,施洞大集,赶集体验,0,,,免费，购物消费另计
GUIZ-ACTIVITY-02,贵州,活动,蜡染体验,含材料/指导,100,,,
GUIZ-ACTIVITY-03,贵州,活动,酿酒体验,含材料/品尝,400,,,
GUIZ-ACTIVITY-04,贵州,活动,苗银制作体验,在施洞苗寨或周边,150,,,
GUIZ-TICKET-01,贵州,门票,下司古镇,门票,60,,,
GUIZ-TICKET-02,贵州,门票,施洞苗银村,免费进入,0,,,
GUIZ-TICKET-03,贵州,门票,甲秀楼,免费参观,0,,,
GUIZ-TICKET-04,贵州,门票,肇兴侗寨,门票+观光车,80,,,
GUIZ-TICKET-05,贵州,门票,荔波小七孔,门票+观光车+保险,170,,,
GUIZ-TICKET-06,贵州,门票,青岩古镇,门票（不含内部小景点）,10,,,
GUIZ-GUIDE-01,贵州,导游,英文导游-初级,8h景点讲解,700,,,估算价
GUIZ-HOTEL-01,贵州,酒店,一禾·侗晓民宿(肇兴侗寨店),四星高级双床房，含2份早餐,600,,,
GUIZ-HOTEL-02,贵州,酒店,凯里舟马驿宾馆(下司古镇店),三星双床含早,300,,,
GUIZ-HOTEL-03,贵州,酒店,荔波香草园温泉酒店,四星/含早2,800,,,估算价
GUIZ-TRANS-01,贵州,车辆,5座车,包车+司机,700,,,估算价 (贵州山区路线复杂)
GUIZ-TRANS-02,贵州,车辆,7座车,包车+司机,800,,,估算价 (贵州山区路线复杂)
GUIZ-TRANS-03,贵州,车辆,接送贵阳龙洞堡机场,举牌+单程,200,,,估算价
GUIZ-TRANS-04,贵州,车辆,接送贵阳北站/东站,举牌+单程,120,,,估算价
GUIZ-TRANS-05,贵州,车辆,5座贵阳-荔波小七孔往返,包车+司机,1000,,,估算价
GUIZ-TRANS-06,贵州,车辆,滴滴快车,市内,150,,,估算价
GUIZ-ADD-01,贵州,补贴服务费,司导餐住补贴,司导餐补50/人，住宿300/晚,350,,,估算价
