项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,项目备注
CQ-ACTIVITY-01,重庆,活动,三峡游轮,重庆-宜昌3日游世纪号含英文服务/导游,3299,,,
CQ-ACTIVITY-02,重庆,活动,三峡游轮,重庆-宜昌3日游华夏号含英文服务,2160,,,
CQ-ACTIVITY-03,重庆,活动,下浩里,街区免费，围炉煮茶约59.9 元 / 4 人,0,,,街区免费，消费另计
CQ-ACTIVITY-04,重庆,活动,两江夜游,含船票,138,,,
CQ-ACTIVITY-05,重庆,活动,山城巷传统风貌区,街区免费,0,,,街区免费，消费另计
CQ-ACTIVITY-06,重庆,活动,川剧变脸表演,含茶水小吃,150,,,
CQ-ACTIVITY-07,重庆,活动,洪崖洞火锅,当地特色火锅，人均消费,120,,,估算价
CQ-ACTIVITY-08,重庆,活动,盖碗茶,老茶馆,8-15,,杯,
CQ-ACTIVITY-09,重庆,活动,麻花制作体验,在磁器口古镇,80,,,
CQ-TICKET-01,重庆,门票,重庆人民大礼堂,外观免费，入内参观,10,,,从活动移入
CQ-TICKET-02,重庆,门票,大足石刻,宝顶山,155,,,
CQ-TICKET-03,重庆,门票,武隆,天生三桥+地缝,260,,,
CQ-TICKET-04,重庆,门票,磁器口古镇,免费,0,,,
CQ-TICKET-05,重庆,门票,长江索道,单程票,30,,,
CQ-GUIDE-01,重庆,导游,英文导游-初级,8h景点讲解,600,"","",
CQ-ADD-01,重庆,补贴服务费,司导餐住补贴,320餐补 服务200/人,,次,"",住宿300+餐补350
CQ-HOTEL-01,重庆,酒店,重庆溯山1946,大床/5星/含早2,1200,"","",
CQ-HOTEL-02,重庆,酒店,重庆江北观音桥步行街亚朵酒店,双床/四星/含早,500,"","",
CQ-HOTEL-03,重庆,酒店,全季酒店（江北嘴蓝洋金融中心店）,双床含早三星,400,"","",
CQ-TRANS-01,重庆,车辆,5座车,市内包车+司机,600,"","",
CQ-TRANS-02,重庆,车辆,7座车,市内包车+司机,700,"","",
CQ-TRANS-03,重庆,车辆,接送江北机场,举牌+单程,150,"","",
CQ-TRANS-04,重庆,车辆,接送重庆北站/西站,举牌+单程,120,"","",
CQ-TRANS-05,重庆,车辆,7座市内+武隆往返,包车+司机,1200,"",天,"",山路长途，费用较高
CQ-TRANS-06,重庆,车辆,7座市内+大足石刻往返,包车+司机,1000,"",天,"",
CQ-TRANS-07,重庆,打车,滴滴快车,市内,200,"",天,"",
CQ-TRANS-08,重庆,打车,滴滴快车,市内+大足石刻往返,500,"",天,"",
