,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,产品名称,Yunnan 5 Days,,,产品名称,Yunnan 5 Days,,,,,,,,,,,,,,,,
,产品编号,YN-P-01,,,产品编号,YN-P-01,,,,,,,,,,,,,,,,
,市内交通方式,包车+高铁,,,市内交通方式,包车+高铁,,,,,,,,,,,,,,,,
,行程,,,,行程,,,,,,,,,,,,,,,,,
,D1,到达昆明+昆明老街,,,D1,到达昆明+昆明老街,,,,,,,,,,,,,,,,
,D2,(高铁至大理) 大理古城+白族文化体验,,,D2,(高铁至大理) 大理古城+白族文化体验,,,,,,,,,,,,,,,,
,D3,环洱海+(丽江古城+纳西文化体验,,,D3,环洱海+(丽江古城+纳西文化体验,,,,,,,,,,,,,,,,
,D4,丽江-虎跳峡-香格里拉-独克宗古城+藏族文化体验(唐卡),,,D4,丽江-虎跳峡-香格里拉-独克宗古城+藏族文化体验(唐卡),,,,,,,,,,,,,,,,
,D5,普达措国家公园+返回丽江,,,D5,普达措国家公园+返回丽江,,,,,,,,,,,,,,,,
,产品成本,6216,,,产品成本,8232,,,,,,,,,,,,,,,,
,利润保留,30.0%,,,利润保留,30.0%,,,,,,,,,,,,,,,,
,售价,8080.8,,,售价,10701.6,,,,,,,,,,,,,,,,
,单人售价/2人,4040.4,,,单人售价/4人,2675.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,日期,项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,数量（2人）,数量（4人）,小计（2人）,小计（4人）,备注,,,,,,,,
,Day 1,YN-GUIDE-01,云南全境,导游,英文导游-初级,8h景点讲解,500,,天,1,1,500,500,,,,,,,,,
,Day 1,YN-TRANS-01,昆明,车辆,5座SUV (昆明段),接机送酒店送车站,300,,天,1,0,300,0,,,,,,,,,
,Day 1,YN-TRANS-02,昆明,车辆,7座商务车 (昆明段),接机送酒店送车站,500,,天,0,1,0,500,,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,,
,Day 2,YN-TRANS-05,昆明-大理,交通,高铁二等座,单程票+认证手续费,160,,人,2,4,320,640,,,,,,,,,
,Day 2,YN-TICKET-01,大理,门票,崇圣寺三塔,含电瓶车,90,,人,2,4,180,360,,,,,,,,,
,Day 2,YN-TRANS-03,大理-丽江-香格里拉,车辆,5座SUV (大理丽香段),大理、丽江、香格里拉区域全程包车,2400,,次,1,,2400,0,,,,,,,,,
,Day 2,YN-TRANS-04,大理-丽江-香格里拉,车辆,7座商务车 (大理丽香段),大理、丽江、香格里拉区域全程包车,3200,,次,0,1,0,3200,,,,,,,,,
,Day 2,YN-GUIDE-01,云南全境,导游,英文导游-初级,8h景点讲解,500,,天,1,1,500,500,,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,,
,Day 3,YN-TICKET-02,大理,门票,洱海生态廊道电瓶车,单程或分段,25,,人,2,4,50,100,,,,,,,,,
,Day 3,YN-TICKET-03,丽江,门票,丽江古城维护费,进入古城需缴,50,,人,2,4,100,200,,,,,,,,,
,Day 3,YN-ACTIVITY-01,大理,活动,白族民居三道茶,含参观及品茶,38,,人,0,,0,0,,,,,,,,,
,Day 3,YN-ACTIVITY-02,大理,活动,周城扎染坊,参观或体验,25,,人,0,,0,0,,,,,,,,,
,Day 3,YN-GUIDE-01,云南全境,导游,英文导游-初级,8h景点讲解,500,,天,1,1,500,500,,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,,
,Day 4,YN-TICKET-04,丽江/香格里拉,门票,虎跳峡,门票,45,,人,2,4,90,180,,,,,,,,,
,Day 4,YN-TICKET-06,香格里拉,门票,独克宗古城,免费进入,0,,,2,4,0,0,,,,,,,,,
,Day 4,YN-ACTIVITY-03,香格里拉,活动,藏族文化体验(唐卡),绘制体验课,200,,人,0,,0,0,,,,,,,,,
,Day 4,YN-GUIDE-01,云南全境,导游,英文导游-初级,8h景点讲解,500,,天,1,1,500,500,,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,,
,Day 5,YN-GUIDE-01,云南全境,导游,英文导游-初级,8h景点讲解,500,,天,1,1,500,500,,,,,,,,,
,Day 5,YN-TICKET-05,香格里拉,门票,普达措国家公园,门票+观光车,138,,人,2,4,276,552,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,总计,,,,,,,,,,,6216,8232,,,,,,,,,
